id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
830096,Stunning Double Room in Besiktas!,2541656,Başak,,Besiktas,41.05251163400561,29.005890369075445,Private room,80,120,18,2017-09-01,0.27,11,313
830246,Bosporus view apartment in Bebek,4343634,Asli,,Besiktas,41.081701793148945,29.04416596796,Entire home/apt,803,14,0,,,1,364
833196,{Berry} Mystic Colours Concept - Suite,1938185,Güner - Berivan - Erdal,,Beyoglu,41.037240670614146,28.975939069403186,Entire home/apt,187,2,39,2018-11-10,0.56,20,343
835835,modern new building in asian site,4360606,Kerem,,Atasehir,41.00106887395654,29.10075244275672,Entire home/apt,177,5,29,2018-07-12,0.42,1,337
836433,{Berry} Chocolate Charm Concept - Terrace,1938185,Güner - Berivan - Erdal,,Beyoglu,41.036832808268734,28.974051247728518,Entire home/apt,139,2,73,2018-10-22,1.05,20,354
837930,Apart Fulya,4377713,Doğukan,,Sisli,41.05825697812809,28.99327331963135,Private room,428,1,0,,,1,364
838735,Penthouse with great Bosphorus view,4381763,ALi,,Uskudar,41.03438243170504,29.029482728915237,Private room,364,2,0,,,1,365
841120,"live like a hip local, w/alcove",4392731,Emrah,,Beyoglu,41.02587406128018,28.975943841865675,Entire home/apt,337,4,6,2018-11-13,1.46,7,358
843343,Apartment in the hearth of Beyoglu,4310495,Alaaddin,,Beyoglu,41.035949943690895,28.978230858145913,Entire home/apt,246,3,13,2018-10-06,0.23,2,234
843452,UNBEATABLE LOCATION 2 BEDROOM,3755093,Enis,,Sisli,41.05135591939999,28.98648671941236,Entire home/apt,327,28,15,2016-01-09,0.30,1,0
845885,A Room in the Hearth of ISTANBUL,4416647,Can,,Beyoglu,41.03310547298304,28.988175880927084,Private room,214,1,0,,,1,0
